Font: DNF Forged Blade  Style: Light
Point Size: 40   Padding: 5   SP/PD Ratio: 12.5%

Characters included: 7521/13019
Missing characters: 1397
Excluded characters: 4101

Characters missing from font file:
----------------------------------------
ID: 8200	Hex: 2008	Char [ ]
ID: 8201	Hex: 2009	Char [ ]
ID: 8202	Hex: 200A	Char [ ]
ID: 8203	Hex: 200B	Char [​]
ID: 8204	Hex: 200C	Char [‌]
ID: 8205	Hex: 200D	Char [‍]
ID: 8206	Hex: 200E	Char [‎]
ID: 8207	Hex: 200F	Char [‏]
ID: 8208	Hex: 2010	Char [‐]
ID: 8209	Hex: 2011	Char [‑]
ID: 8210	Hex: 2012	Char [‒]
ID: 8215	Hex: 2017	Char [‗]
ID: 8218	Hex: 201A	Char [‚]
ID: 8219	Hex: 201B	Char [‛]
ID: 8222	Hex: 201E	Char [„]
ID: 8223	Hex: 201F	Char [‟]
ID: 8226	Hex: 2022	Char [•]
ID: 8227	Hex: 2023	Char [‣]
ID: 8228	Hex: 2024	Char [․]
ID: 8231	Hex: 2027	Char [‧]
ID: 8232	Hex: 2028	Char [ ]
ID: 8233	Hex: 2029	Char [ ]
ID: 8234	Hex: 202A	Char [‪]
ID: 8235	Hex: 202B	Char [‫]
ID: 8236	Hex: 202C	Char [‬]
ID: 8237	Hex: 202D	Char [‭]
ID: 8238	Hex: 202E	Char [‮]
ID: 8239	Hex: 202F	Char [ ]
ID: 8241	Hex: 2031	Char [‱]
ID: 8244	Hex: 2034	Char [‴]
ID: 8245	Hex: 2035	Char [‵]
ID: 8246	Hex: 2036	Char [‶]
ID: 8247	Hex: 2037	Char [‷]
ID: 8248	Hex: 2038	Char [‸]
ID: 8249	Hex: 2039	Char [‹]
ID: 8250	Hex: 203A	Char [›]
ID: 8252	Hex: 203C	Char [‼]
ID: 8253	Hex: 203D	Char [‽]
ID: 8254	Hex: 203E	Char [‾]
ID: 8255	Hex: 203F	Char [‿]
ID: 8256	Hex: 2040	Char [⁀]
ID: 8257	Hex: 2041	Char [⁁]
ID: 8258	Hex: 2042	Char [⁂]
ID: 8259	Hex: 2043	Char [⁃]
ID: 8260	Hex: 2044	Char [⁄]
ID: 8261	Hex: 2045	Char [⁅]
ID: 8262	Hex: 2046	Char [⁆]
ID: 8263	Hex: 2047	Char [⁇]
ID: 8264	Hex: 2048	Char [⁈]
ID: 8265	Hex: 2049	Char [⁉]
ID: 8266	Hex: 204A	Char [⁊]
ID: 8267	Hex: 204B	Char [⁋]
ID: 8268	Hex: 204C	Char [⁌]
ID: 8269	Hex: 204D	Char [⁍]
ID: 8270	Hex: 204E	Char [⁎]
ID: 8271	Hex: 204F	Char [⁏]
ID: 8272	Hex: 2050	Char [⁐]
ID: 8273	Hex: 2051	Char [⁑]
ID: 8274	Hex: 2052	Char [⁒]
ID: 8275	Hex: 2053	Char [⁓]
ID: 8276	Hex: 2054	Char [⁔]
ID: 8277	Hex: 2055	Char [⁕]
ID: 8278	Hex: 2056	Char [⁖]
ID: 8279	Hex: 2057	Char [⁗]
ID: 8280	Hex: 2058	Char [⁘]
ID: 8281	Hex: 2059	Char [⁙]
ID: 8282	Hex: 205A	Char [⁚]
ID: 8283	Hex: 205B	Char [⁛]
ID: 8284	Hex: 205C	Char [⁜]
ID: 8285	Hex: 205D	Char [⁝]
ID: 8286	Hex: 205E	Char [⁞]
ID: 8287	Hex: 205F	Char [ ]
ID: 8288	Hex: 2060	Char [⁠]
ID: 8289	Hex: 2061	Char [⁡]
ID: 8290	Hex: 2062	Char [⁢]
ID: 8291	Hex: 2063	Char [⁣]
ID: 8292	Hex: 2064	Char [⁤]
ID: 8293	Hex: 2065	Char [⁥]
ID: 8294	Hex: 2066	Char [⁦]
ID: 8295	Hex: 2067	Char [⁧]
ID: 8296	Hex: 2068	Char [⁨]
ID: 8297	Hex: 2069	Char [⁩]
ID: 8298	Hex: 206A	Char [⁪]
ID: 8299	Hex: 206B	Char [⁫]
ID: 8300	Hex: 206C	Char [⁬]
ID: 8301	Hex: 206D	Char [⁭]
ID: 8302	Hex: 206E	Char [⁮]
ID: 8303	Hex: 206F	Char [⁯]
ID: 8304	Hex: 2070	Char [⁰]
ID: 8305	Hex: 2071	Char [ⁱ]
ID: 8306	Hex: 2072	Char [⁲]
ID: 8307	Hex: 2073	Char [⁳]
ID: 8309	Hex: 2075	Char [⁵]
ID: 8310	Hex: 2076	Char [⁶]
ID: 8311	Hex: 2077	Char [⁷]
ID: 8312	Hex: 2078	Char [⁸]
ID: 8313	Hex: 2079	Char [⁹]
ID: 8314	Hex: 207A	Char [⁺]
ID: 8315	Hex: 207B	Char [⁻]
ID: 8316	Hex: 207C	Char [⁼]
ID: 8317	Hex: 207D	Char [⁽]
ID: 8318	Hex: 207E	Char [⁾]
ID: 8320	Hex: 2080	Char [₀]
ID: 8325	Hex: 2085	Char [₅]
ID: 8326	Hex: 2086	Char [₆]
ID: 8327	Hex: 2087	Char [₇]
ID: 8328	Hex: 2088	Char [₈]
ID: 8329	Hex: 2089	Char [₉]
ID: 8330	Hex: 208A	Char [₊]
ID: 8331	Hex: 208B	Char [₋]
ID: 8332	Hex: 208C	Char [₌]
ID: 8333	Hex: 208D	Char [₍]
ID: 8334	Hex: 208E	Char [₎]
ID: 8335	Hex: 208F	Char [₏]
ID: 8336	Hex: 2090	Char [ₐ]
ID: 8337	Hex: 2091	Char [ₑ]
ID: 8338	Hex: 2092	Char [ₒ]
ID: 8339	Hex: 2093	Char [ₓ]
ID: 8340	Hex: 2094	Char [ₔ]
ID: 8341	Hex: 2095	Char [ₕ]
ID: 8342	Hex: 2096	Char [ₖ]
ID: 8343	Hex: 2097	Char [ₗ]
ID: 8344	Hex: 2098	Char [ₘ]
ID: 8345	Hex: 2099	Char [ₙ]
ID: 8346	Hex: 209A	Char [ₚ]
ID: 8347	Hex: 209B	Char [ₛ]
ID: 8348	Hex: 209C	Char [ₜ]
ID: 8349	Hex: 209D	Char [₝]
ID: 8350	Hex: 209E	Char [₞]
ID: 8351	Hex: 209F	Char [₟]
ID: 8352	Hex: 20A0	Char [₠]
ID: 8353	Hex: 20A1	Char [₡]
ID: 8354	Hex: 20A2	Char [₢]
ID: 8355	Hex: 20A3	Char [₣]
ID: 8356	Hex: 20A4	Char [₤]
ID: 8357	Hex: 20A5	Char [₥]
ID: 8358	Hex: 20A6	Char [₦]
ID: 8359	Hex: 20A7	Char [₧]
ID: 8360	Hex: 20A8	Char [₨]
ID: 8362	Hex: 20AA	Char [₪]
ID: 8363	Hex: 20AB	Char [₫]
ID: 8365	Hex: 20AD	Char [₭]
ID: 8366	Hex: 20AE	Char [₮]
ID: 8367	Hex: 20AF	Char [₯]
ID: 8368	Hex: 20B0	Char [₰]
ID: 8369	Hex: 20B1	Char [₱]
ID: 8370	Hex: 20B2	Char [₲]
ID: 8371	Hex: 20B3	Char [₳]
ID: 8372	Hex: 20B4	Char [₴]
ID: 8373	Hex: 20B5	Char [₵]
ID: 8374	Hex: 20B6	Char [₶]
ID: 8375	Hex: 20B7	Char [₷]
ID: 8376	Hex: 20B8	Char [₸]
ID: 8377	Hex: 20B9	Char [₹]
ID: 8378	Hex: 20BA	Char [₺]
ID: 8379	Hex: 20BB	Char [₻]
ID: 8380	Hex: 20BC	Char [₼]
ID: 8381	Hex: 20BD	Char [₽]
ID: 8382	Hex: 20BE	Char [₾]
ID: 8383	Hex: 20BF	Char [₿]
ID: 8384	Hex: 20C0	Char [⃀]
ID: 8385	Hex: 20C1	Char [⃁]
ID: 8386	Hex: 20C2	Char [⃂]
ID: 8387	Hex: 20C3	Char [⃃]
ID: 8388	Hex: 20C4	Char [⃄]
ID: 8389	Hex: 20C5	Char [⃅]
ID: 8390	Hex: 20C6	Char [⃆]
ID: 8391	Hex: 20C7	Char [⃇]
ID: 8392	Hex: 20C8	Char [⃈]
ID: 8393	Hex: 20C9	Char [⃉]
ID: 8394	Hex: 20CA	Char [⃊]
ID: 8395	Hex: 20CB	Char [⃋]
ID: 8396	Hex: 20CC	Char [⃌]
ID: 8397	Hex: 20CD	Char [⃍]
ID: 8398	Hex: 20CE	Char [⃎]
ID: 8399	Hex: 20CF	Char [⃏]
ID: 8400	Hex: 20D0	Char [⃐]
ID: 8401	Hex: 20D1	Char [⃑]
ID: 8402	Hex: 20D2	Char [⃒]
ID: 8403	Hex: 20D3	Char [⃓]
ID: 8404	Hex: 20D4	Char [⃔]
ID: 8405	Hex: 20D5	Char [⃕]
ID: 8406	Hex: 20D6	Char [⃖]
ID: 8407	Hex: 20D7	Char [⃗]
ID: 8408	Hex: 20D8	Char [⃘]
ID: 8409	Hex: 20D9	Char [⃙]
ID: 8410	Hex: 20DA	Char [⃚]
ID: 8411	Hex: 20DB	Char [⃛]
ID: 8412	Hex: 20DC	Char [⃜]
ID: 8413	Hex: 20DD	Char [⃝]
ID: 8414	Hex: 20DE	Char [⃞]
ID: 8415	Hex: 20DF	Char [⃟]
ID: 8416	Hex: 20E0	Char [⃠]
ID: 8417	Hex: 20E1	Char [⃡]
ID: 8418	Hex: 20E2	Char [⃢]
ID: 8419	Hex: 20E3	Char [⃣]
ID: 8420	Hex: 20E4	Char [⃤]
ID: 8421	Hex: 20E5	Char [⃥]
ID: 8422	Hex: 20E6	Char [⃦]
ID: 8423	Hex: 20E7	Char [⃧]
ID: 8424	Hex: 20E8	Char [⃨]
ID: 8425	Hex: 20E9	Char [⃩]
ID: 8426	Hex: 20EA	Char [⃪]
ID: 8427	Hex: 20EB	Char [⃫]
ID: 8428	Hex: 20EC	Char [⃬]
ID: 8429	Hex: 20ED	Char [⃭]
ID: 8430	Hex: 20EE	Char [⃮]
ID: 8431	Hex: 20EF	Char [⃯]
ID: 8432	Hex: 20F0	Char [⃰]
ID: 8433	Hex: 20F1	Char [⃱]
ID: 8434	Hex: 20F2	Char [⃲]
ID: 8435	Hex: 20F3	Char [⃳]
ID: 8436	Hex: 20F4	Char [⃴]
ID: 8437	Hex: 20F5	Char [⃵]
ID: 8438	Hex: 20F6	Char [⃶]
ID: 8439	Hex: 20F7	Char [⃷]
ID: 8440	Hex: 20F8	Char [⃸]
ID: 8441	Hex: 20F9	Char [⃹]
ID: 8442	Hex: 20FA	Char [⃺]
ID: 8443	Hex: 20FB	Char [⃻]
ID: 8444	Hex: 20FC	Char [⃼]
ID: 8445	Hex: 20FD	Char [⃽]
ID: 8446	Hex: 20FE	Char [⃾]
ID: 8447	Hex: 20FF	Char [⃿]
ID: 8448	Hex: 2100	Char [℀]
ID: 8449	Hex: 2101	Char [℁]
ID: 8450	Hex: 2102	Char [ℂ]
ID: 8452	Hex: 2104	Char [℄]
ID: 8453	Hex: 2105	Char [℅]
ID: 8454	Hex: 2106	Char [℆]
ID: 8455	Hex: 2107	Char [ℇ]
ID: 8456	Hex: 2108	Char [℈]
ID: 8458	Hex: 210A	Char [ℊ]
ID: 8459	Hex: 210B	Char [ℋ]
ID: 8460	Hex: 210C	Char [ℌ]
ID: 8461	Hex: 210D	Char [ℍ]
ID: 8462	Hex: 210E	Char [ℎ]
ID: 8463	Hex: 210F	Char [ℏ]
ID: 8464	Hex: 2110	Char [ℐ]
ID: 8465	Hex: 2111	Char [ℑ]
ID: 8466	Hex: 2112	Char [ℒ]
ID: 8468	Hex: 2114	Char [℔]
ID: 8469	Hex: 2115	Char [ℕ]
ID: 8471	Hex: 2117	Char [℗]
ID: 8472	Hex: 2118	Char [℘]
ID: 8473	Hex: 2119	Char [ℙ]
ID: 8474	Hex: 211A	Char [ℚ]
ID: 8475	Hex: 211B	Char [ℛ]
ID: 8476	Hex: 211C	Char [ℜ]
ID: 8477	Hex: 211D	Char [ℝ]
ID: 8478	Hex: 211E	Char [℞]
ID: 8479	Hex: 211F	Char [℟]
ID: 8480	Hex: 2120	Char [℠]
ID: 8483	Hex: 2123	Char [℣]
ID: 8484	Hex: 2124	Char [ℤ]
ID: 8485	Hex: 2125	Char [℥]
ID: 8487	Hex: 2127	Char [℧]
ID: 8488	Hex: 2128	Char [ℨ]
ID: 8489	Hex: 2129	Char [℩]
ID: 8490	Hex: 212A	Char [K]
ID: 8492	Hex: 212C	Char [ℬ]
ID: 8493	Hex: 212D	Char [ℭ]
ID: 8494	Hex: 212E	Char [℮]
ID: 8495	Hex: 212F	Char [ℯ]
ID: 8496	Hex: 2130	Char [ℰ]
ID: 8497	Hex: 2131	Char [ℱ]
ID: 8498	Hex: 2132	Char [Ⅎ]
ID: 8499	Hex: 2133	Char [ℳ]
ID: 8500	Hex: 2134	Char [ℴ]
ID: 8501	Hex: 2135	Char [ℵ]
ID: 8502	Hex: 2136	Char [ℶ]
ID: 8503	Hex: 2137	Char [ℷ]
ID: 8504	Hex: 2138	Char [ℸ]
ID: 8505	Hex: 2139	Char [ℹ]
ID: 8506	Hex: 213A	Char [℺]
ID: 8507	Hex: 213B	Char [℻]
ID: 8508	Hex: 213C	Char [ℼ]
ID: 8509	Hex: 213D	Char [ℽ]
ID: 8510	Hex: 213E	Char [ℾ]
ID: 8511	Hex: 213F	Char [ℿ]
ID: 8512	Hex: 2140	Char [⅀]
ID: 8513	Hex: 2141	Char [⅁]
ID: 8514	Hex: 2142	Char [⅂]
ID: 8515	Hex: 2143	Char [⅃]
ID: 8516	Hex: 2144	Char [⅄]
ID: 8517	Hex: 2145	Char [ⅅ]
ID: 8518	Hex: 2146	Char [ⅆ]
ID: 8519	Hex: 2147	Char [ⅇ]
ID: 8520	Hex: 2148	Char [ⅈ]
ID: 8521	Hex: 2149	Char [ⅉ]
ID: 8522	Hex: 214A	Char [⅊]
ID: 8523	Hex: 214B	Char [⅋]
ID: 8524	Hex: 214C	Char [⅌]
ID: 8525	Hex: 214D	Char [⅍]
ID: 8526	Hex: 214E	Char [ⅎ]
ID: 8527	Hex: 214F	Char [⅏]
ID: 8528	Hex: 2150	Char [⅐]
